Timestamp WorkflowId PeakValueRss0 PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize0 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU0 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime0 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9 
1790370000.0 105.0 NA 144 190 106 NA NA NA NA NA NA NA 229 487 174 NA NA NA NA NA NA NA 7858 290 214 NA NA NA NA NA NA NA 3845 224 263 NA NA NA NA NA NA 
1790370000.0 1052.0 NA NA 234 164 0 NA NA NA NA NA NA NA 385 256 0 NA NA NA NA NA NA NA 364 175 26 NA NA NA NA NA NA NA 725 257 48 NA NA NA NA NA 
1790370000.0 106.0 NA 119 0 0 NA NA NA NA NA NA NA 169 0 0 NA NA NA NA NA NA NA 223 93 592 NA NA NA NA NA NA NA 438 161 782 NA NA NA NA NA NA 
1790370000.0 107.0 NA 141 141 388 NA NA NA NA NA NA NA 235 497 535 NA NA NA NA NA NA NA 18880 250 788 NA NA NA NA NA NA NA 8766 275 838 NA NA NA NA NA NA 
1790370000.0 108.0 NA 146 190 389 NA NA NA NA NA NA NA 244 497 555 NA NA NA NA NA NA NA 16425 237 812 NA NA NA NA NA NA NA 11069 278 1230 NA NA NA NA NA NA 
1790370000.0 10801.0 NA 116 302 506 0 158 195 NA NA NA NA 171 612 699 0 229 298 NA NA NA NA 2209 238 831 209 221 217 NA NA NA NA 781 136 791 237 216 223 NA NA NA 
1790370000.0 10803.0 NA 137 297 509 0 152 188 NA NA NA NA 281 598 698 0 229 290 NA NA NA NA 71434 231 801 199 209 202 NA NA NA NA 44624 161 805 251 212 320 NA NA NA 
1790370000.0 10804.0 NA 115 301 501 0 156 188 NA NA NA NA 172 599 708 0 233 298 NA NA NA NA 2063 242 843 207 228 214 NA NA NA NA 745 135 725 248 232 223 NA NA NA 
1790370000.0 10804.31 NA 113 296 507 0 152 197 NA NA NA NA 170 595 713 0 232 288 NA NA NA NA 1937 328 1206 271 302 251 NA NA NA NA 824 231 1771 294 309 264 NA NA NA 
1790370000.0 10805.31 NA 117 296 501 0 152 190 NA NA NA NA 175 600 728 0 225 300 NA NA NA NA 4965 240 806 214 225 238 NA NA NA NA 1783 162 1263 281 253 324 NA NA NA 
1790370000.0 10806.0 NA 122 306 508 0 157 198 NA NA NA NA 169 558 709 0 226 301 NA NA NA NA 257 278 1044 277 256 258 NA NA NA NA 452 241 1310 450 397 447 NA NA NA 
1790370000.0 10807.0 NA 116 296 502 0 180 189 NA NA NA NA 168 586 714 0 293 298 NA NA NA NA 255 335 1164 298 290 247 NA NA NA NA 401 290 1157 324 358 310 NA NA NA 
1790370000.0 10808.0 NA 116 300 505 0 178 197 NA NA NA NA 170 593 743 0 291 297 NA NA NA NA 338 292 1124 275 285 311 NA NA NA NA 498 271 1359 365 336 489 NA NA NA 
1790370000.0 10809.0 NA 125 307 527 0 182 202 NA NA NA NA 172 603 725 0 294 299 NA NA NA NA 588 282 1002 254 276 253 NA NA NA NA 796 270 1309 513 468 416 NA NA NA 
1790370000.0 10823.0 NA 125 295 501 0 152 188 NA NA NA NA 183 606 703 0 232 288 NA NA NA NA 5286 244 835 220 231 229 NA NA NA NA 1883 166 865 287 300 312 NA NA NA 
1790370000.0 10824.0 NA 143 312 541 0 192 201 NA NA NA NA 197 628 721 0 304 297 NA NA NA NA 20434 293 1177 236 245 248 NA NA NA NA 10492 178 1004 267 267 331 NA NA NA 
1790370000.0 10824.1 NA 134 303 312 0 NA NA NA NA NA NA 201 618 481 0 NA NA NA NA NA NA 24242 275 382 205 NA NA NA NA NA NA 9843 190 401 251 NA NA NA NA NA 
1790370000.0 10824.6 NA 142 304 521 0 185 199 NA NA NA NA 201 616 720 0 301 300 NA NA NA NA 31374 354 1375 283 306 288 NA NA NA NA 13176 251 1179 374 300 365 NA NA NA 
1790370000.0 10824.8 NA 138 315 541 0 191 202 NA NA NA NA 198 604 743 0 301 297 NA NA NA NA 22821 275 1312 236 249 281 NA NA NA NA 12057 218 931 271 255 314 NA NA NA 
1790370000.0 10825.0 NA 138 309 527 0 162 201 NA NA NA NA 188 584 713 0 233 301 NA NA NA NA 16188 229 848 215 217 213 NA NA NA NA 5620 154 699 268 321 321 NA NA NA 
1790370000.0 10826.0 NA 133 304 525 0 158 190 NA NA NA NA 210 612 721 0 241 292 NA NA NA NA 36220 357 1405 332 288 294 NA NA NA NA 20048 377 1167 420 327 334 NA NA NA 
1790370000.0 10859.0 NA 125 320 554 0 165 204 NA NA NA NA 242 624 757 0 237 299 NA NA NA NA 65525 317 1463 255 243 239 NA NA NA NA 33209 224 1074 364 341 371 NA NA NA 
1790370000.0 10871.0 NA 141 314 536 0 160 200 NA NA NA NA 200 612 731 0 236 295 NA NA NA NA 22991 296 1213 266 271 261 NA NA NA NA 14005 250 1343 448 524 428 NA NA NA 
